second,Volt
9.09E-08,-9.15E-03
9.12E-08,-1.16E-02
9.16E-08,-1.17E-02
9.19E-08,-1.17E-02
9.22E-08,-1.56E-02
9.25E-08,-1.57E-02
9.28E-08,-1.57E-02
9.31E-08,-1.19E-02
9.34E-08,-1.17E-02
9.37E-08,-1.17E-02
9.41E-08,-9.55E-03
9.44E-08,-7.78E-03
9.47E-08,-7.71E-03
9.50E-08,-6.02E-03
9.53E-08,-3.78E-03
9.56E-08,-3.69E-03
9.59E-08,-3.69E-03
9.62E-08,-3.69E-03
9.66E-08,-3.69E-03
9.69E-08,-3.69E-03
9.72E-08,-3.69E-03
9.75E-08,-5.62E-03
9.78E-08,-7.63E-03
9.81E-08,-7.71E-03
9.84E-08,-7.71E-03
9.87E-08,-7.71E-03
9.91E-08,-7.71E-03
9.94E-08,-7.71E-03
9.97E-08,-7.71E-03
1.00E-07,-7.71E-03
1.00E-07,-7.71E-03
1.01E-07,-7.71E-03
1.01E-07,-6.50E-03
1.01E-07,-3.80E-03
1.02E-07,-3.69E-03
1.02E-07,-3.69E-03
1.02E-07,-3.69E-03
1.02E-07,-3.69E-03
1.03E-07,-3.69E-03
1.03E-07,-7.54E-03
1.03E-07,-7.71E-03
1.04E-07,-7.71E-03
1.04E-07,-1.01E-02
1.04E-07,-1.17E-02
1.05E-07,-1.17E-02
1.05E-07,-1.17E-02
1.05E-07,-1.17E-02
1.06E-07,-1.17E-02
1.06E-07,-1.17E-02
1.06E-07,-1.17E-02
1.07E-07,-1.17E-02
1.07E-07,-1.17E-02
1.07E-07,-7.87E-03
1.07E-07,-7.71E-03
1.08E-07,-7.71E-03
1.08E-07,-3.85E-03
1.08E-07,-3.69E-03
1.09E-07,-3.69E-03
1.09E-07,-3.69E-03
1.09E-07,-3.69E-03
1.10E-07,-3.69E-03
1.10E-07,-3.69E-03
1.10E-07,-3.69E-03
1.11E-07,-7.54E-03
1.11E-07,-7.71E-03
1.11E-07,-7.71E-03
1.12E-07,-1.01E-02
1.12E-07,-1.17E-02
1.12E-07,-1.17E-02
1.12E-07,-1.17E-02
1.13E-07,-1.17E-02
1.13E-07,-1.17E-02
1.13E-07,-1.05E-02
1.14E-07,-7.82E-03
1.14E-07,-7.71E-03
1.14E-07,-7.71E-03
1.15E-07,-7.71E-03
1.15E-07,-6.02E-03
1.15E-07,-3.78E-03
1.16E-07,-3.69E-03
1.16E-07,-3.69E-03
1.16E-07,-3.69E-03
1.17E-07,-3.69E-03
1.17E-07,-3.69E-03
1.17E-07,-7.54E-03
1.17E-07,-7.71E-03
1.18E-07,-7.71E-03
1.18E-07,-7.71E-03
1.18E-07,-7.71E-03
1.19E-07,-7.71E-03
1.19E-07,-7.71E-03
1.19E-07,-7.71E-03
1.20E-07,-7.71E-03
1.20E-07,-7.71E-03
1.20E-07,-7.71E-03
1.21E-07,-7.71E-03
1.21E-07,-7.71E-03
1.21E-07,-7.71E-03
1.22E-07,-5.53E-03
1.22E-07,-3.76E-03
1.22E-07,-3.69E-03
1.22E-07,-3.69E-03
1.23E-07,-3.69E-03
1.23E-07,-7.54E-03
1.23E-07,-7.71E-03
1.24E-07,-7.71E-03
1.24E-07,-7.71E-03
1.24E-07,-7.71E-03
1.25E-07,-7.71E-03
1.25E-07,-7.71E-03
1.25E-07,-7.71E-03
1.26E-07,-7.71E-03
1.26E-07,-7.71E-03
1.26E-07,-7.71E-03
1.27E-07,-7.71E-03
1.27E-07,-7.71E-03
1.27E-07,-7.71E-03
1.27E-07,-6.02E-03
1.28E-07,-3.78E-03
1.28E-07,-3.69E-03
1.28E-07,-3.69E-03
1.29E-07,-3.69E-03
1.29E-07,-3.69E-03
1.29E-07,-3.69E-03
1.30E-07,-3.69E-03
1.30E-07,-5.62E-03
1.30E-07,-7.63E-03
1.31E-07,-7.71E-03
1.31E-07,-9.15E-03
1.31E-07,-1.16E-02
1.32E-07,-1.17E-02
1.32E-07,-1.17E-02
1.32E-07,-1.17E-02
1.32E-07,-1.37E-02
1.33E-07,-1.57E-02
1.33E-07,-1.19E-02
1.33E-07,-1.17E-02
1.34E-07,-1.17E-02
1.34E-07,-1.17E-02
1.34E-07,-1.17E-02
1.35E-07,-7.87E-03
1.35E-07,-7.71E-03
1.35E-07,-7.71E-03
1.36E-07,-7.71E-03
1.36E-07,-6.50E-03
1.36E-07,-3.80E-03
1.37E-07,-3.69E-03
1.37E-07,-3.69E-03
1.37E-07,-3.69E-03
1.37E-07,-3.69E-03
1.38E-07,-3.69E-03
1.38E-07,-7.54E-03
1.38E-07,-7.71E-03
1.39E-07,-7.71E-03
1.39E-07,-7.71E-03
1.39E-07,-7.71E-03
1.40E-07,-7.71E-03
1.40E-07,-7.71E-03
1.40E-07,-7.71E-03
1.41E-07,-7.71E-03
1.41E-07,-6.50E-03
1.41E-07,-3.80E-03
1.42E-07,-3.69E-03
1.42E-07,-3.69E-03
1.42E-07,-3.69E-03
1.42E-07,-3.69E-03
